Name,SMILES,InChI,Solvent,Proton Transfer Type,pKa Type,pKa Type (Standardized),pKa Value (Corrected),pKa Value,pKa Value Uncertainty,Temperature,Temperature Uncertainty,Method,Method (code),Ionic Strength,Water Content,Homoconjugation and Other Reactions,Indicator type,Remarks,Remarks (code),Additional info,Reference,Reference (code),Standard,Standard (code)
Hexanoic acid,CCCCCC(=O)O,"InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)",NMP,acidic,pK1,pKa1,13.6,13.6,0.2,25,1,Potentiometric (glass electrode),P(G),DHE,<100mM,,,"The glass electrode was calibrated in solutions of p-tolulenesulfonic acid (completely dissociated). pKa was obtained from paH in HA-Et4NA or in B-BHSO3CH3(1:1) mixture. The HA-Et4NA solution contained 4% benzene and 0.5% MeOH,which were brought in by the titrant Et4NOH(in 9:1 benzene-MeOH). ",*2,,"A.P. Kreshkov, Ya.A. Gurvich, G.M. Gal'pern and N.F. Kryuchkova, Zh. Anal. Khim., 27, 1166 (1972); J. Anal. Chem. USSR, 27, 1043 (1972). ",72K,"Group B: Complete dissociation of p-toluenesulfonic acid, pKa(benzoic acid)=12.3",B
Hydrogen chloride,Cl,InChI=1S/ClH/h1H,NMP,acidic,pK1,pKa1,3.92,3.92,,20,0.1,Conductometric,C,DHE,4mM:b,,,The Fuoss and Kraus equation was used.,*10,,"E.A. Emelin and L.M. Gershtein, Zh. Fiz. Khim., 50, 2461 (1976); Russ. J. Phys. Chem., 50, 1477 (1976).",76E,,
Hydrogen iodide,I,InChI=1S/HI/h1H,NMP,acidic,pK1,pKa1,complete_dissociation,complete_dissociation,,,,Potentiometric (hydrogen electrode),P(H),0.1M,<250mM,,,Complete dissociation of the acid (0.01 Mto 0.002M) was concluded from the Nernstian response of the glass electrode. ,*1,,"M. Dupin and J.P. Terrat, J. Electroanal. Chem., 35, 261 (1972).",72D,,
Imidazole,c1c[nH]cn1,"InChI=1S/C3H4N2/c1-2-5-3-4-1/h1-3H,(H,4,5)",NMP,basic,pK1,pKaH1,6.8,6.8,,25,1,Potentiometric (glass electrode),P(G),DHE,<100mM,,,"The glass electrode was calibrated in solutions of p-tolulenesulfonic acid (completely dissociated). pKa was obtained from paH in HA-Et4NA or in B-BHSO3CH3(1:1) mixture. The HA-Et4NA solution contained 4% benzene and 0.5% MeOH,which were brought in by the titrant Et4NOH(in 9:1 benzene-MeOH). ",*2,,"A.P. Kreshkov, Ya.A. Gurvich, G.M. Gal'pern and N.F. Kryuchkova, Zh. Anal. Khim., 27, 1166 (1972); J. Anal. Chem. USSR, 27, 1043 (1972). ",72K,"Group B: Complete dissociation of p-toluenesulfonic acid, pKa(benzoic acid)=12.3",B
Imidazole,c1c[nH]cn1,"InChI=1S/C3H4N2/c1-2-5-3-4-1/h1-3H,(H,4,5)",NMP,basic,pK1,pKaH1,6,6,,,,Potentiometric (glass electrode),P(G),0.1M,<250mM,,,"The indicator electrode was calibrated in solutions of strong acids (HClO4, HI,CH3SO3H)",*3,,"M. Dupin and J.P. Terrat, J. Electroanal. Chem., 35, 261 (1972). J.L. Mouton and C. Sinicki, J. Electroanal. Chem., 48, 285 (1973). ","72D,73M","Group C: Complete dissociation of HClO4, [pKa(benzoic acid)=10.0)",C
Imidazole,c1c[nH]cn1,"InChI=1S/C3H4N2/c1-2-5-3-4-1/h1-3H,(H,4,5)",NMP,basic,pK1,pKaH1,6.25,6.25,,,,Spectrophometric,S,~1E-2M,,,,pKa's were obtained by the overlapping indicator method starting from HClO4 (completely dissociated). ,*6,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B,"Group C: Complete dissociation of HClO4, [pKa(benzoic acid)=10.0)",C
Isobutyric acid,CC(C)C(=O)O,"InChI=1S/C4H8O2/c1-3(2)4(5)6/h3H,1-2H3,(H,5,6)",NMP,acidic,pK1,pKa1,13.5,13.5,0.2,25,1,Potentiometric (glass electrode),P(G),DHE,<100mM,,,"The glass electrode was calibrated in solutions of p-tolulenesulfonic acid (completely dissociated). pKa was obtained from paH in HA-Et4NA or in B-BHSO3CH3(1:1) mixture. The HA-Et4NA solution contained 4% benzene and 0.5% MeOH,which were brought in by the titrant Et4NOH(in 9:1 benzene-MeOH). ",*2,,"A.P. Kreshkov, Ya.A. Gurvich, G.M. Gal'pern and N.F. Kryuchkova, Zh. Anal. Khim., 27, 1166 (1972); J. Anal. Chem. USSR, 27, 1043 (1972). ",72K,"Group B: Complete dissociation of p-toluenesulfonic acid, pKa(benzoic acid)=12.3",B
Isovaleric acid,CC(C)CC(=O)O,"InChI=1S/C5H10O2/c1-4(2)3-5(6)7/h4H,3H2,1-2H3,(H,6,7)",NMP,acidic,pK1,pKa1,13.4,13.4,0.2,25,1,Potentiometric (glass electrode),P(G),DHE,<100mM,,,"The glass electrode was calibrated in solutions of p-tolulenesulfonic acid (completely dissociated). pKa was obtained from paH in HA-Et4NA or in B-BHSO3CH3(1:1) mixture. The HA-Et4NA solution contained 4% benzene and 0.5% MeOH,which were brought in by the titrant Et4NOH(in 9:1 benzene-MeOH). ",*2,,"A.P. Kreshkov, Ya.A. Gurvich, G.M. Gal'pern and N.F. Kryuchkova, Zh. Anal. Khim., 27, 1166 (1972); J. Anal. Chem. USSR, 27, 1043 (1972). ",72K,"Group B: Complete dissociation of p-toluenesulfonic acid, pKa(benzoic acid)=12.3",B
L-Ascorbic acid,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,"InChI=1S/C6H8O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2,5,7-10H,1H2/t2-,5+/m0/s1",NMP,acidic,pK1,pKa1,13.4,10.1,,,,Voltammetric,V(H),0.1M,<250mM,,,pKa was obtained from the voltammetric half-wave potential of the acid at a platinized Pt hydrogen electrode.,*4,,"M. Dupin and J.P. Terrat, J. Electroanal. Chem., 35, 261 (1972).",72D,"Group C: Complete dissociation of HClO4, [pKa(benzoic acid)=10.0)",C
Maleic acid,O=C(O)/C=C\C(=O)O,"InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)",NMP,acidic,pK1,pKa1,4.5,4.5,,,,Potentiometric (hydrogen electrode),P(H)(G),0.1M,,,,Values reported in other literatures.,*9,,"J.L. Mouton and C. Sinicki, J. Electroanal. Chem., 48, 285 (1973). ",73M,,
Maleic acid,O=C(O)/C=C\C(=O)O,"InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)",NMP,acidic,pK2,pKa2,10.7,10.7,,,,Potentiometric (hydrogen electrode),P(H)(G),0.1M,,,,Values reported in other literatures.,*9,,"J.L. Mouton and C. Sinicki, J. Electroanal. Chem., 48, 285 (1973). ",73M,,
Maleic acid,O=C(O)/C=C\C(=O)O,"InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)",NMP,acidic,pK1,pKa1,7.95,4.65,,,,Spectrophometric,S,~1E-2M,,,,pKa's were obtained by the overlapping indicator method starting from HClO4 (completely dissociated). ,*6,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B,"Group C: Complete dissociation of HClO4, [pKa(benzoic acid)=10.0)",C
Malonic acid,O=C(O)CC(=O)O,"InChI=1S/C3H4O4/c4-2(5)1-3(6)7/h1H2,(H,4,5)(H,6,7)",NMP,acidic,pK1,pKa1,6.85,6.85,,,,Potentiometric (hydrogen electrode),P(H)(G),0.1M,,,,Values reported in other literatures.,*9,,"J.L. Mouton and C. Sinicki, J. Electroanal. Chem., 48, 285 (1973). ",73M,,
Malonic acid,O=C(O)CC(=O)O,"InChI=1S/C3H4O4/c4-2(5)1-3(6)7/h1H2,(H,4,5)(H,6,7)",NMP,acidic,pK2,pKa2,9.65,9.65,,,,Potentiometric (hydrogen electrode),P(H)(G),0.1M,,,,Values reported in other literatures.,*9,,"J.L. Mouton and C. Sinicki, J. Electroanal. Chem., 48, 285 (1973). ",73M,,
Malononitrile,N#CCC#N,InChI=1S/C3H2N2/c4-2-1-3-5/h1H2,NMP,acidic,pK1,pKa1,12.6,12.6,,25,1,Spectrophometric,S,,a,,,"pKa's were obtained by the overlapping indicator method starting from 4-chloro-2,6-dinitrophenol(pKa = 4.22) and 4,6-dinitro-2-methylphenol(pKa = 5.33).",*7,,"F.G. Bordwell, J. C. Branca, D.L. Hughes and W.N. Olmstead, J. Org. Chem., 45, 3305 (1980). ",80B,"Group A: pKa(4-chloro-2,6-dinitrophenol)=4.22, pKa(4,6-dinitro-2-methylphenol)=5.33,  [pKa(benzoic acid)=13.3)",A
Methanesulfonic acid,CS(=O)(=O)O,"InChI=1S/CH4O3S/c1-5(2,3)4/h1H3,(H,2,3,4)",NMP,acidic,pK1,pKa1,5.4,2.1,0.2,,,Potentiometric (hydrogen electrode),P(H),0.1M,<250mM,,,"The indicator electrode was calibrated in solutions of strong acids (HClO4, HI,CH3SO3H)",*3,,"M. Dupin and J.P. Terrat, J. Electroanal. Chem., 35, 261 (1972). M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ","72D,76B","Group C: Complete dissociation of HClO4, [pKa(benzoic acid)=10.0)",C
Methanesulfonic acid,CS(=O)(=O)O,"InChI=1S/CH4O3S/c1-5(2,3)4/h1H3,(H,2,3,4)",NMP,acidic,pK1,pKa1,5.35,2.05,,,,Spectrophometric,S,~1E-2M,,,,pKa's were obtained by the overlapping indicator method starting from HClO4 (completely dissociated). ,*6,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B,"Group C: Complete dissociation of HClO4, [pKa(benzoic acid)=10.0)",C
Methyl phenyl sulfone,CS(=O)(=O)c1ccccc1,"InChI=1S/C7H8O2S/c1-10(8,9)7-5-3-2-4-6-7/h2-6H,1H3",NMP,acidic,pK1,pKa1,30,30,,25,1,Spectrophometric,S,,a,,,"pKa's were obtained by the overlapping indicator method starting from 4-chloro-2,6-dinitrophenol(pKa = 4.22) and 4,6-dinitro-2-methylphenol(pKa = 5.33).",*7,,"F.G. Bordwell, J. C. Branca, D.L. Hughes and W.N. Olmstead, J. Org. Chem., 45, 3305 (1980). ",80B,"Group A: pKa(4-chloro-2,6-dinitrophenol)=4.22, pKa(4,6-dinitro-2-methylphenol)=5.33,  [pKa(benzoic acid)=13.3)",A
Neutral Red,Cc1cc2nc3ccc(N(C)C)cc3nc2cc1N.Cl,"InChI=1S/C15H16N4.ClH/c1-9-6-13-15(8-11(9)16)18-14-7-10(19(2)3)4-5-12(14)17-13;/h4-8H,16H2,1-3H3;1H",NMP,indicator,pK1,pK1,6,6,,,,Spectrophometric,S,~1E-2M,,,,pKa's were obtained by the overlapping indicator method starting from HClO4 (completely dissociated). ,*6,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B,"Group C: Complete dissociation of HClO4, [pKa(benzoic acid)=10.0)",C
Nitric acid,O=[N+]([O-])O,"InChI=1S/HNO3/c2-1(3)4/h(H,2,3,4)",NMP,acidic,pK1,pKa1,5.4,2.1,0.2,,,Potentiometric (hydrogen electrode),P(H),0.1M,<250mM,,,"The indicator electrode was calibrated in solutions of strong acids (HClO4, HI,CH3SO3H)",*3,,"M. Dupin and J.P. Terrat, J. Electroanal. Chem., 35, 261 (1972).",72D,"Group C: Complete dissociation of HClO4, [pKa(benzoic acid)=10.0)",C
nitromethane,C[N+](=O)[O-],InChI=1S/CH3NO2/c1-2(3)4/h1H3,NMP,acidic,pK1,pKa1,19.8,19.8,,25,1,Spectrophometric,S,,a,,,"pKa's were obtained by the overlapping indicator method starting from 4-chloro-2,6-dinitrophenol(pKa = 4.22) and 4,6-dinitro-2-methylphenol(pKa = 5.33). The influence of ion-association was taken into account. ","*7,8",,"F.G. Bordwell, J. C. Branca, D.L. Hughes and W.N. Olmstead, J. Org. Chem., 45, 3305 (1980). ",80B,"Group A: pKa(4-chloro-2,6-dinitrophenol)=4.22, pKa(4,6-dinitro-2-methylphenol)=5.33,  [pKa(benzoic acid)=13.3)",A
Octanoic acid,CCCCCCCC(=O)O,"InChI=1S/C8H16O2/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3,(H,9,10)",NMP,acidic,pK1,pKa1,13.6,13.6,0.2,25,1,Potentiometric (glass electrode),P(G),DHE,<100mM,,,"The glass electrode was calibrated in solutions of p-tolulenesulfonic acid (completely dissociated). pKa was obtained from paH in HA-Et4NA or in B-BHSO3CH3(1:1) mixture. The HA-Et4NA solution contained 4% benzene and 0.5% MeOH,which were brought in by the titrant Et4NOH(in 9:1 benzene-MeOH). ",*2,,"A.P. Kreshkov, Ya.A. Gurvich, G.M. Gal'pern and N.F. Kryuchkova, Zh. Anal. Khim., 27, 1166 (1972); J. Anal. Chem. USSR, 27, 1043 (1972). ",72K,"Group B: Complete dissociation of p-toluenesulfonic acid, pKa(benzoic acid)=12.3",B
Oxalic acid,O=C(O)C(=O)O,"InChI=1S/C2H2O4/c3-1(4)2(5)6/h(H,3,4)(H,5,6)",NMP,acidic,pK1,pKa1,12.5,9.2,,,,Voltammetric,V(H),0.1M,<250mM,,,pKa was obtained from the voltammetric half-wave potential of the acid at a platinized Pt hydrogen electrode.,*4,,"M. Dupin and J.P. Terrat, J. Electroanal. Chem., 35, 261 (1972).",72D,"Group C: Complete dissociation of HClO4, [pKa(benzoic acid)=10.0)",C
Perchloric acid,[O-][Cl+3]([O-])([O-])O,"InChI=1S/ClHO4/c2-1(3,4)5/h(H,2,3,4,5)",NMP,acidic,pK1,pKa1,complete_dissociation,complete_dissociation,,,,Potentiometric (hydrogen electrode),P(H),0.1M,<250mM,,,Complete dissociation of the acid (0.01 Mto 0.002M) was concluded from the Nernstian response of the glass electrode. ,*1,,"M. Dupin and J.P. Terrat, J. Electroanal. Chem., 35, 261 (1972).",72D,,
Perchloric acid,[O-][Cl+3]([O-])([O-])O,"InChI=1S/ClHO4/c2-1(3,4)5/h(H,2,3,4,5)",NMP,acidic,pK1,pKa1,complete_dissociation,complete_dissociation,,25,1,Potentiometric (glass electrode),P(G),<1E-2M,<100mM,,,Complete dissociation of the acid (0.01 Mto 0.002M) was concluded from the Nernstian response of the glass electrode. ,*1,,"A.P. Kreshkov, Ya.A. Gurvich, G.M. Gal'pern and N.F. Kryuchkova, Zh. Anal. Khim., 27, 1166 (1972); J. Anal. Chem. USSR, 27, 1043 (1972). ",72K,,
Phenol,Oc1ccccc1,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",NMP,acidic,pK1,pKa1,17.6,17.6,0.2,25,1,Potentiometric (glass electrode),P(G),DHE,<100mM,,,"The glass electrode was calibrated in solutions of p-tolulenesulfonic acid (completely dissociated). pKa was obtained from paH in HA-Et4NA or in B-BHSO3CH3(1:1) mixture. The HA-Et4NA solution contained 4% benzene and 0.5% MeOH,which were brought in by the titrant Et4NOH(in 9:1 benzene-MeOH). ",*2,,"A.P. Kreshkov, Ya.A. Gurvich, G.M. Gal'pern and N.F. Kryuchkova, Zh. Anal. Khim., 27, 1166 (1972); J. Anal. Chem. USSR, 27, 1043 (1972). ",72K,"Group B: Complete dissociation of p-toluenesulfonic acid, pKa(benzoic acid)=12.3",B
Phenol,Oc1ccccc1,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",NMP,acidic,pK1,pKa1,>15,>15,,,,Potentiometric (hydrogen electrode),P(H)(G),0.1M,,,,Values reported in other literatures.,*9,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B,,
Phenol,Oc1ccccc1,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",NMP,acidic,pK1,pKa1,18.8,15.5,,,,Spectrophometric,S,~1E-2M,,,,pKa's were obtained by the overlapping indicator method starting from HClO4 (completely dissociated). ,*6,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B,"Group C: Complete dissociation of HClO4, [pKa(benzoic acid)=10.0)",C
Phenol,Oc1ccccc1,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",NMP,acidic,pK1,pKa1,20.1,20.1,,25,1,Spectrophometric,S,,a,,,"pKa's were obtained by the overlapping indicator method starting from 4-chloro-2,6-dinitrophenol(pKa = 4.22) and 4,6-dinitro-2-methylphenol(pKa = 5.33).",*7,,"F.G. Bordwell, J. C. Branca, D.L. Hughes and W.N. Olmstead, J. Org. Chem., 45, 3305 (1980). ",80B,"Group A: pKa(4-chloro-2,6-dinitrophenol)=4.22, pKa(4,6-dinitro-2-methylphenol)=5.33,  [pKa(benzoic acid)=13.3)",A
Phenol Red,O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,"InChI=1S/C19H14O5S/c20-15-9-5-13(6-10-15)19(14-7-11-16(21)12-8-14)17-3-1-2-4-18(17)25(22,23)24-19/h1-12,20-21H",NMP,indicator,pK1,pK1,13.2,13.2,,,,Spectrophometric,S,~1E-2M,,,,pKa's were obtained by the overlapping indicator method starting from HClO4 (completely dissociated). ,*6,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B,"Group C: Complete dissociation of HClO4, [pKa(benzoic acid)=10.0)",C
Phenylacetic acid,O=C(O)Cc1ccccc1,"InChI=1S/C8H8O2/c9-8(10)6-7-4-2-1-3-5-7/h1-5H,6H2,(H,9,10)",NMP,acidic,pK1,pKa1,14.15,10.85,,,,Spectrophometric,S,~1E-2M,,,,pKa's were obtained by the overlapping indicator method starting from HClO4 (completely dissociated). ,*6,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B,"Group C: Complete dissociation of HClO4, [pKa(benzoic acid)=10.0)",C
Phenylmalononitrile,N#CC(C#N)c1ccccc1,"InChI=1S/C9H6N2/c10-6-9(7-11)8-4-2-1-3-5-8/h1-5,9H",NMP,acidic,pK1,pKa1,5.1,5.1,,25,1,Spectrophometric,S,,a,,,"pKa's were obtained by the overlapping indicator method starting from 4-chloro-2,6-dinitrophenol(pKa = 4.22) and 4,6-dinitro-2-methylphenol(pKa = 5.33).",*7,,"F.G. Bordwell, J. C. Branca, D.L. Hughes and W.N. Olmstead, J. Org. Chem., 45, 3305 (1980). ",80B,"Group A: pKa(4-chloro-2,6-dinitrophenol)=4.22, pKa(4,6-dinitro-2-methylphenol)=5.33,  [pKa(benzoic acid)=13.3)",A
Picric acid,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,"InChI=1S/C6H3N3O7/c10-6-4(8(13)14)1-3(7(11)12)2-5(6)9(15)16/h1-2,10H",NMP,acidic,pK1,pKa1,complete_dissociation,complete_dissociation,,25,1,Potentiometric (glass electrode),P(G),DHE,<100mM,,,Complete dissociation of the acid (0.01 Mto 0.002M) was concluded from the Nernstian response of the glass electrode. ,*1,,"A.P. Kreshkov, Ya.A. Gurvich, G.M. Gal'pern and N.F. Kryuchkova, Zh. Anal. Khim., 27, 1166 (1972); J. Anal. Chem. USSR, 27, 1043 (1972). ",72K,,
Picric acid,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,"InChI=1S/C6H3N3O7/c10-6-4(8(13)14)1-3(7(11)12)2-5(6)9(15)16/h1-2,10H",NMP,acidic,pK1,pKa1,5,2,0.5,,,Potentiometric (hydrogen electrode),P(H),,<250mM,,,"The indicator electrode was calibrated in solutions of strong acids (HClO4, HI,CH3SO3H)",*3,,"M. Dupin and J.P. Terrat, J. Electroanal. Chem., 35, 261 (1972).",72D,"Group C: Complete dissociation of HClO4, [pKa(benzoic acid)=10.0)",C
Piperidine,C1CCNCC1,"InChI=1S/C5H11N/c1-2-4-6-5-3-1/h6H,1-5H2",NMP,basic,pK1,pKaH1,10.4,10.4,,25,1,Potentiometric (glass electrode),P(G),DHE,<100mM,,,"The glass electrode was calibrated in solutions of p-tolulenesulfonic acid (completely dissociated). pKa was obtained from paH in HA-Et4NA or in B-BHSO3CH3(1:1) mixture. The HA-Et4NA solution contained 4% benzene and 0.5% MeOH,which were brought in by the titrant Et4NOH(in 9:1 benzene-MeOH). ",*2,,"A.P. Kreshkov, Ya.A. Gurvich, G.M. Gal'pern and N.F. Kryuchkova, Zh. Anal. Khim., 27, 1166 (1972); J. Anal. Chem. USSR, 27, 1043 (1972). ",72K,"Group B: Complete dissociation of p-toluenesulfonic acid, pKa(benzoic acid)=12.3",B
Piperidine,C1CCNCC1,"InChI=1S/C5H11N/c1-2-4-6-5-3-1/h6H,1-5H2",NMP,basic,pK1,pKaH1,10.4,10.4,,,,Potentiometric (hydrogen electrode),P(H)(G),0.1M,<250mM,,,"The indicator electrode was calibrated in solutions of strong acids (HClO4, HI,CH3SO3H)",*3,,"M. Dupin and J.P. Terrat, J. Electroanal. Chem., 35, 261 (1972). J.L. Mouton and C. Sinicki, J. Electroanal. Chem., 48, 285 (1973). ","72D,73M","Group C: Complete dissociation of HClO4, [pKa(benzoic acid)=10.0)",C
Propionic acid,CCC(=O)O,"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)",NMP,acidic,pK1,pKa1,13.5,13.5,0.2,25,1,Potentiometric (glass electrode),P(G),DHE,<100mM,,,"The glass electrode was calibrated in solutions of p-tolulenesulfonic acid (completely dissociated). pKa was obtained from paH in HA-Et4NA or in B-BHSO3CH3(1:1) mixture. The HA-Et4NA solution contained 4% benzene and 0.5% MeOH,which were brought in by the titrant Et4NOH(in 9:1 benzene-MeOH). ",*2,,"A.P. Kreshkov, Ya.A. Gurvich, G.M. Gal'pern and N.F. Kryuchkova, Zh. Anal. Khim., 27, 1166 (1972); J. Anal. Chem. USSR, 27, 1043 (1972). ",72K,"Group B: Complete dissociation of p-toluenesulfonic acid, pKa(benzoic acid)=12.3",B
Propionic acid,CCC(=O)O,"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)",NMP,acidic,pK1,pKa1,12.5,12.5,,,,Potentiometric,P,,,,,Values reported in other literatures.,*9,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B,,
Rhodamine B,CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(=[N+](CC)CC)cc-3oc2c1.[Cl-],"InChI=1S/C28H30N2O3.ClH/c1-5-29(6-2)19-13-15-23-25(17-19)33-26-18-20(30(7-3)8-4)14-16-24(26)27(23)21-11-9-10-12-22(21)28(31)32;/h9-18H,5-8H2,1-4H3;1H",NMP,indicator,pK1,pK1,5.55,5.55,,,,Spectrophometric,S,~1E-2M,,,,pKa's were obtained by the overlapping indicator method starting from HClO4 (completely dissociated). ,*6,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B,"Group C: Complete dissociation of HClO4, [pKa(benzoic acid)=10.0)",C
Salicylic acid,O=C(O)c1ccccc1O,"InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)",NMP,acidic,pK1,pKa1,13.1,9.8,,,,Voltammetric,V(H),0.1M,<250mM,,,pKa was obtained from the voltammetric half-wave potential of the acid at a platinized Pt hydrogen electrode.,*4,,"M. Dupin and J.P. Terrat, J. Electroanal. Chem., 35, 261 (1972).",72D,"Group C: Complete dissociation of HClO4, [pKa(benzoic acid)=10.0)",C
Salicylic acid,O=C(O)c1ccccc1O,"InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)",NMP,acidic,pK1,pKa1,8.6,8.6,0.2,25,1,Potentiometric (glass electrode),P(G),DHE,<100mM,,,"The glass electrode was calibrated in solutions of p-tolulenesulfonic acid (completely dissociated). pKa was obtained from paH in HA-Et4NA or in B-BHSO3CH3(1:1) mixture. The HA-Et4NA solution contained 4% benzene and 0.5% MeOH,which were brought in by the titrant Et4NOH(in 9:1 benzene-MeOH). ",*2,,"A.P. Kreshkov, Ya.A. Gurvich, G.M. Gal'pern and N.F. Kryuchkova, Zh. Anal. Khim., 27, 1166 (1972); J. Anal. Chem. USSR, 27, 1043 (1972). ",72K,"Group B: Complete dissociation of p-toluenesulfonic acid, pKa(benzoic acid)=12.3",B
Salicylic acid,O=C(O)c1ccccc1O,"InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)",NMP,acidic,pK1,pKa1,7.3,7.3,,,,Potentiometric,P,,,,,Values reported in other literatures.,*9,,"J.L. Mouton and C. Sinicki, J. Electroanal. Chem., 48, 285 (1973). ",73M,,
Salicylic acid,O=C(O)c1ccccc1O,"InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)",NMP,acidic,pK1,pKa1,8.4,8.4,,25,1,Spectrophometric,S,,a,logKf(HA2-)=1.8+0.1,,"pKa's were obtained by the overlapping indicator method starting from 4-chloro-2,6-dinitrophenol(pKa = 4.22) and 4,6-dinitro-2-methylphenol(pKa = 5.33).",*7,,"F.G. Bordwell, J. C. Branca, D.L. Hughes and W.N. Olmstead, J. Org. Chem., 45, 3305 (1980). ",80B,"Group A: pKa(4-chloro-2,6-dinitrophenol)=4.22, pKa(4,6-dinitro-2-methylphenol)=5.33,  [pKa(benzoic acid)=13.3)",A
Succinic acid,O=C(O)CCC(=O)O,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)",NMP,acidic,pK1,pKa1,9.2,9.2,,,,Potentiometric,P,,,,,Values reported in other literatures.,*9,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B,,
Succinic acid,O=C(O)CCC(=O)O,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)",NMP,acidic,pK2,pKa2,14.6,14.6,,,,Potentiometric,P,,,,,Values reported in other literatures.,*9,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B,,
Succinic acid,O=C(O)CCC(=O)O,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)",NMP,acidic,pK1,pKa1,12.4,9.1,,,,Spectrophometric,S,~1E-2M,,,,pKa's were obtained by the overlapping indicator method starting from HClO4 (completely dissociated). ,*6,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B,"Group C: Complete dissociation of HClO4, [pKa(benzoic acid)=10.0)",C
Succinic acid,O=C(O)CCC(=O)O,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)",NMP,acidic,pK2,pKa2,18.4,15.1,,,,Spectrophometric,S,~1E-2M,,,,pKa's were obtained by the overlapping indicator method starting from HClO4 (completely dissociated). ,*6,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B,"Group C: Complete dissociation of HClO4, [pKa(benzoic acid)=10.0)",C
